V1	V2	V3	V4	V5	V6	V7	V8	V9
Smad4	mmu-mir-375	NA	NA	Activation	31921861	literature	Mesenchymal stem cells	M.musculus
Prrx1	mmu-mir-503	NA	NA	Activation	31712603	literature	NIH-3T3	M.musculus
Smad4	mmu-mir-675	NA	NA	Repression	30953355	literature	mouse cardiac fibroblasts	M.musculus
Foxo1	mmu-mir-122	NA	NA	Activation	29248466	literature	hepatic stellate cell	M.musculus
Smad3	hsa-mir-195	NA	NA	Activation	29465312	literature	Mouse primary hepatocytes	M.musculus
Smad3	mmu-mir-675	NA	NA	Repression	30953355	literature	mouse cardiac fibroblasts	M.musculus
Smad2	mmu-mir-675	NA	NA	Repression	30953355	literature	mouse cardiac fibroblasts	M.musculus
Notch1	mmu-mir-155	NA	NA	Repression	30273359	literature	C2C12	M.musculus
Prmt7	mmu-mir-221	NA	NA	Repression	29378844	literature	Embryonic stem cells	M.musculus
Pitx2	mmu-mir-31	NA	NA	Repression	29641992	literature	Sol8	M.musculus
Nrf1	mmu-mir-378	NA	NA	Repression	29625129	literature	Hepa1-6;liver	M.musculus
Crtc3	mmu-mir-206	NA	NA	Activation	29784793	literature	hib1b;SVF	M.musculus
Hdac3	mmu-mir-19a	NA	NA	Repression	33143661	literature	lung fibroblasts	M.musculus
Stat3	mmu-mir-130b	NA	NA	Activation	36217202	literature	HEK 293 T	M.musculus
Ctnnb1	mmu-mir-146a	NA	NA	Activation	36985977	literature	bone marrow mesenchymal stem cells	M.musculus
Irf1	mmu-mir-155	NA	NA	Activation	37063422	literature	BV2	M.musculus
Irf7	mmu-mir-375	NA	NA	Repression	36336986	literature	colonic epithelial cells	M.musculus
Smad2	mmu-mir-300	NA	NA	Activation	37273781	literature	HEK-293T	M.musculus
Bmp6	mmu-mir-122	NA	NA	Activation	37566034	literature	Hepa1−6	M.musculus
Ezh2	mmu-mir-15a	NA	NA	Repression	37146769	literature	hippocampal neurons	M.musculus
Cebpd	mmu-mir-96	NA	NA	Activation	37752084	literature	cardiac tissue	M.musculus
Dot1l	mmu-mir-181	NA	NA	Activation	38072145	literature	bone marrow mesenchymal stem cells	M.musculus
Foxo4	mmu-mir-138	NA	NA	Activation	35796190	literature	HT-22	M.musculus
Ahr	mmu-mir-142a	NA	NA	Activation	33204326	literature	Bone marrow derived macrophages	M.musculus
Smad4	mmu-mir-34a	NA	NA	Activation	35286917	literature	EL4	M.musculus
Hdac3	mmu-mir-92	NA	NA	Repression	33143661	literature	lung fibroblasts	M.musculus
Hdac3	mmu-mir-20a	NA	NA	Repression	33143661	literature	lung fibroblasts	M.musculus
Srf	mmu-mir-210	NA	NA	Activation	23818299	literature	embryoid bodies	M.musculus
Nfic	mmu-mir-200b	NA	NA	Activation	34930914	literature	C17.2	M.musculus
Gata2	mmu-let-7e	NA	NA	Repression	30221399	literature	spleens CD11bGr1 cells	M.musculus
Zeb1	mmu-mir-182	NA	NA	Repression	37863917	literature	HEK-293T	M.musculus
Stat3	mmu-mir-31	NA	NA	Activation	28870287	literature	mICc12	M.musculus
Sox4	mmu-mir-3065	NA	NA	Repression	31281513	literature	bone marrow stromal cells	M.musculus
Sox4	mmu-mir-338	NA	NA	Repression	31281513	literature	bone marrow stromal cells	M.musculus
Runx2	mmu-mir-3065	NA	NA	Repression	31281513	literature	bone marrow stromal cells	M.musculus
Runx2	mmu-mir-338	NA	NA	Repression	31281513	literature	bone marrow stromal cells	M.musculus
Ebf1	mmu-mir-27a	NA	NA	Repression	28704388	literature	A20	M.musculus
Zeb1	mmu-mir-1199	NA	NA	Repression	29079737	literature	NMuMG/E9	M.musculus
Stat6	mmu-mir-34a	NA	NA	Activation	32345320	literature	bone marrow-derived macrophages	M.musculus
Stat3	mmu-mir-21b	NA	NA	Activation	32358019	literature	murine myeloid-derived suppressor cells	M.musculus
Foxo1	mmu-mir-802	NA	NA	Activation	32286278	literature	Min6	M.musculus
E2f1	mmu-mir-378a	NA	NA	Activation	32226531	literature	Hepa1-6;liver	M.musculus
Myc	mmu-mir-144	NA	NA	Repression	33319407	literature	embryonic stem cell-derived erythroid G1E cells	M.musculus
Myc	mmu-mir-451	NA	NA	Repression	33319407	literature	embryonic stem cell-derived erythroid G1E cells	M.musculus
Sox10	mmu-mir-503	NA	NA	Activation	33082503	literature	mammary glands	M.musculus
Pitx2	mmu-mir-24-2	NA	NA	Repression	37806494	literature	LS-8	M.musculus
Pitx2	mmu-mir-27a	NA	NA	Repression	37806494	literature	LS-8	M.musculus
Pitx2	mmu-mir-23a	NA	NA	Repression	37806494	literature	LS-8	M.musculus
Sox9	mmu-mir-455	NA	NA	Activation	34230481	literature	chondrocytes	M.musculus
Stat3	mmu-mir-21a	NA	NA	Activation	32358019	literature	murine myeloid-derived suppressor cells	M.musculus
Runx2	mmu-mir-23a	NA	NA	Activation	29743543	literature	Hepa1-6	M.musculus
Nfatc3	mmu-mir-153	NA	NA	Activation	31903137	literature	cardiomyocytes	M.musculus
Ets2	mmu-mir-124a	NA	NA	Repression	31754329	literature	MIN6	M.musculus
Rela	mmu-mir-30a	NA	NA	Repression	31561751	literature	T cells	M.musculus
Klf6	mmu-mir-223	NA	NA	Repression	31262200	literature	RAW264.7;bone marrow–derived macrophage	M.musculus
Stat3	mmu-mir-21	NA	NA	Activation	31078118	literature	Gr1CD11b	M.musculus
Junb	mmu-mir-182	NA	NA	Activation	30674954	literature	B220 B cells	M.musculus
Stat3	mmu-mir-199a-2	NA	NA	Activation	30426460	literature	myocardium	M.musculus
Gata2	mmu-let-7e	NA	NA	Repression	30221399	literature	spleens CD11bGr1 cells isolated	M.musculus
Sp7	mmu-mir-98	NA	NA	Activation	29949140	literature	osteoblasts	M.musculus
Atf4	mmu-mir-552	NA	NA	Activation	35857794	literature	smooth muscle cells	M.musculus
Klf4	mmu-mir-182	NA	NA	Activation	31686119	literature	HL-1	M.musculus
Stat3	mmu-mir-181b	NA	NA	Activation	32358019	literature	murine myeloid-derived suppressor cells	M.musculus
Bmi1	mmu-mir-29a	NA	NA	Repression	36309571	literature	C2C12	M.musculus
Ezh2	mmu-mir-29a	NA	NA	Repression	36309571	literature	C2C12	M.musculus
Stat1	mmu-mir-99b	NA	NA	Activation	38431286	literature	AML-12	M.musculus
Brd4	mmu-mir-146a	NA	NA	Activation	33630975	literature	Bone marrow derived macrophages	M.musculus
Smad4	mmu-mir-26a-1	NA	NA	Activation	31921861	literature	Mesenchymal stem cells	M.musculus
Sox10	mmu-mir-424	NA	NA	Activation	33082503	literature	mammary glands	M.musculus
Sp1	mmu-mir-124a	NA	NA	Activation	29340098	literature	RAW264.7	M.musculus
E2f1	mmu-mir-92a-1	NA	NA	Activation	28698574	literature	palatal mesenchymal cells	M.musculus
Stat3	mmu-mir-7-1	NA	NA	Activation	31982773	literature	C3H10	M.musculus
Smad4	mmu-mir-124a	NA	NA	Activation	30576242	literature	3T3-L1	M.musculus
Prrx1	mmu-mir-424	NA	NA	Activation	31712603	literature	NIH-3T3	M.musculus
Notch1	mmu-mir-29a	NA	NA	Repression	29807327	literature	NIH3T3;CD4 T cells	M.musculus
Sp1	mmu-mir-545	NA	NA	Activation	31327495	literature	MC3T3-E1	M.musculus
Smad3	mmu-mir-29a	NA	NA	Repression	29230533	literature	NIH-3T3	M.musculus
Sox10	mmu-mir-204	NA	NA	Activation	32176386	literature	Neuro2a	M.musculus
Ebf1	mmu-mir-24-1	NA	NA	Repression	28704388	literature	A20	M.musculus
Esr2	mmu-mir-135a-1	NA	NA	Repression	34440873	literature	granulosa cells	M.musculus
E2f1	mmu-mir-17	NA	NA	Activation	28698574	literature	palatal mesenchymal cells	M.musculus
Stat3	mmu-mir-1281	NA	NA	Repression	33089914	literature	lung	M.musculus
E2f1	mmu-mir-18a	NA	NA	Activation	28698574	literature	palatal mesenchymal cells	M.musculus
E2f1	mmu-mir-19a	NA	NA	Activation	28698574	literature	palatal mesenchymal cells	M.musculus
E2f1	mmu-mir-20a	NA	NA	Activation	28698574	literature	palatal mesenchymal cells	M.musculus
Ebf1	mmu-mir-23a	NA	NA	Repression	28704388	literature	A20	M.musculus
E2f1	mmu-mir-19b	NA	NA	Activation	28698574	literature	palatal mesenchymal cells	M.musculus
Dnmt3a	mmu-mir-34b	NA	NA	Repression	31129659	literature	vascular smooth muscle cells	M.musculus
Stat3	mmu-mir-19b	NA	NA	Repression	33089914	literature	lung	M.musculus
Zeb1	mmu-mir-96	NA	NA	Repression	37863917	literature	HEK-293T	M.musculus
Myc	mmu-mir-320	NA	NA	Activation	34933640	literature	RAW 264.7	M.musculus
Ncor1	mmu-mir-199a-1	NA	NA	Repression	34774795	literature	liver	M.musculus
Ezh2	mmu-mir-22	NA	NA	Repression	32657761	literature	Hair follicle stem cells	M.musculus
Spi1	mmu-mir-147	NA	NA	Activation	29133016	literature	bone marrow-derived macrophages	M.musculus
Nfe2l2	mmu-mir-214	NA	NA	Repression	34000381	literature	bone marrow–derived macrophages	M.musculus
Rela	mmu-mir-147	NA	NA	Activation	29133016	literature	bone marrow-derived macrophages	M.musculus
Ep300	mmu-mir-147	NA	NA	Activation	29133016	literature	bone marrow-derived macrophages	M.musculus
Rela	mmu-mir-376b	NA	NA	Repression	33328388	literature	BUMPT	M.musculus
Rela	mmu-mir-99b	NA	NA	Activation	33109608	literature	MH-S	M.musculus
Trp53	mmu-mir-149	NA	NA	Activation	34140005	literature	AKR	M.musculus
Creb1	mmu-mir-132	NA	NA	Activation	29172439	literature	hippocampal tissue	M.musculus
Spi1	mmu-mir-155	NA	NA	Activation	29133016	literature	macrophages	M.musculus
Spi1	mmu-mir-34a	NA	NA	Activation	29162670	literature	hepatic stellate cells	M.musculus
Ep300	mmu-mir-147	NA	NA	Activation	29133016	literature	macrophages	M.musculus
Ep300	mmu-mir-155	NA	NA	Activation	29133016	literature	macrophages	M.musculus
Spi1	mmu-mir-147	NA	NA	Activation	29133016	literature	macrophages	M.musculus
Creb1	mmu-mir-206	NA	NA	Activation	29784793	literature	hib1b;SVF	M.musculus
Rela	mmu-mir-146a	NA	NA	Repression	30337925	literature	Raw264.7	M.musculus
Ep300	mmu-mir-155	NA	NA	Activation	29133016	literature	bone marrow-derived macrophages	M.musculus
Rela	mmu-mir-155	NA	NA	Activation	29133016	literature	macrophages	M.musculus
Spi1	mmu-mir-29c	NA	NA	Activation	29162670	literature	hepatic stellate cells	M.musculus
Nfe2l2	hsa-mir-380	NA	NA	Activation	31368498	literature	N2a	M.musculus
Nfe2l2	mmu-mir-146a	NA	NA	Activation	36040608	literature	BV2	M.musculus
Rela	mmu-mir-155	NA	NA	Activation	29133016	literature	bone marrow-derived macrophages	M.musculus
Rela	mmu-mir-147	NA	NA	Activation	29133016	literature	macrophages	M.musculus
Trp53	mmu-mir-27a	NA	NA	Repression	30745821	literature	CHO-K1	M.musculus
Nr4a2	mmu-mir-30e	NA	NA	Activation	37990334	literature	BV2	M.musculus
Hdac1-ps	mmu-mir-195	NA	NA	Repression	29465312	literature	Hepa1-6	M.musculus
Trp53	mmu-mir-92a-1	NA	NA	Activation	35734423	literature	brown adipocytes	M.musculus
Myod1	mmu-mir-27a	NA	NA	Activation	36288764	literature	CHO-K1	M.musculus
Nfe2l2	mmu-mir-103-1	NA	NA	Activation	37885132	literature	HEK-293T	M.musculus
Nfe2l2	mmu-mir-93	NA	NA	Activation	32641994	literature	bone marrow-derived macrophages	M.musculus
Rnf2	mmu-mir-29a	NA	NA	Repression	36309571	literature	C2C12	M.musculus
Myb	mmu-mir-143	NA	NA	Activation	30169548	literature	vascular smooth muscle cells	M.musculus
Nr1h4	mmu-mir-199a-1	NA	NA	Repression	34774795	literature	liver	M.musculus
Creb1	mmu-mir-212	NA	NA	Activation	32767729	literature	RAW264.7	M.musculus
Nr1h4	mmu-mir-126a	NA	NA	Activation	32221722	literature	Hep1-6;Liver	M.musculus
Jun	mmu-mir-21	NA	NA	Activation	32314840	literature	marrow-derived mesenchymal stem cells	M.musculus
Kdm6b	mmu-mir-146a	NA	NA	Repression	30337925	literature	Raw264.7	M.musculus
Gata4	mmu-mir-29a	NA	NA	Repression	36309571	literature	C2C12	M.musculus
Myb	mmu-mir-145	NA	NA	Activation	30169548	literature	vascular smooth muscle cells	M.musculus
Spi1	mmu-mir-155	NA	NA	Activation	29133016	literature	bone marrow-derived macrophages	M.musculus
Rela	mmu-mir-27a	NA	NA	Activation	38701957	literature	Astrocytes	M.musculus
c-Myc	mmu-mir-23b	NA	NA	Repression	34512173	literature	cerebral cortical cells	M.musculus
C/EBPα	mmu-mir-7a-1	NA	NA	Activation	37094666	literature	intestinal epithelial cells	M.musculus
TGFβ1	mmu-mir-122	NA	NA	Repression	37566034	literature	Hepa1−6	M.musculus
C/EBPα	mmu-mir-128-1	NA	NA	Activation	36880288	literature	N2a	M.musculus
HIF2α	mmu-mir-3085	NA	NA	Activation	35672324	literature	brown adipocytes	M.musculus
c-Myc	mmu-mir-200b	NA	NA	Repression	34371139	literature	brain	M.musculus
c-Myc	mmu-mir-1929	NA	NA	Repression	34057794	literature	MPC-5	M.musculus
β-catenin	mmu-mir-142	NA	NA	Activation	32700780	literature	ST2	M.musculus
SREBP1c	mmu-mir-153	NA	NA	Repression	33491670	literature	pancreatic tissues	M.musculus
HNF4α	mmu-mir-467b	NA	NA	Activation	34139323	literature	Hepa1-6	M.musculus
IFN-γ	mmu-mir-351	NA	NA	Repression	29255036	literature	Hepatic stellate cells	M.musculus
c-Myc	mmu-mir-144	NA	NA	Repression	29284789	literature	B-lymphoma cells	M.musculus
c-Myc	mmu-mir-451	NA	NA	Repression	29284789	literature	B-lymphoma cells	M.musculus
AP-2α	mmu-mir-25	NA	NA	Activation	29518009	literature	C2C12	M.musculus
p-CREB	mmu-mir-206	NA	NA	Activation	29784793	literature	hib1b;SVF	M.musculus
C/EBPβ	mmu-mir-21	NA	NA	Activation	31078118	literature	Gr1CD11b	M.musculus
NF-κB1	mmu-mir-143	NA	NA	Repression	30394308	literature	BV2	M.musculus
HIF-1α	mmu-mir-23a	NA	NA	Activation	30551896	literature	tubular epithelial cells	M.musculus
LXRα	mmu-mir-378	NA	NA	Activation	30281809	literature	Hepa1-6;liver	M.musculus
Cebpβ	mmu-mir-21a	NA	NA	Activation	32358019	literature	murine myeloid-derived suppressor cells	M.musculus
Cebpβ	mmu-mir-21b	NA	NA	Activation	32358019	literature	murine myeloid-derived suppressor cells	M.musculus
Cebpβ	mmu-mir-181b	NA	NA	Activation	32358019	literature	murine myeloid-derived suppressor cells	M.musculus
CEBP/α	mmu-mir-7b	NA	NA	Activation	33125780	literature	T cells	M.musculus
C/EBPβ	mmu-mir-21	NA	NA	Activation	28934717	literature	Gr1CD11b	M.musculus
EBS2	mmu-mir-126	NA	NA	Activation	29118970	literature	mouse endothelial cells	M.musculus
NF-κB	mmu-mir-146a	NA	NA	Activation	30018336	literature	L929	M.musculus
Pparγ	mmu-let-7g	NA	NA	Regulation	31871210	literature	hepatic stellate cells	M.musculus
Pparγ	mmu-mir-338	NA	NA	Regulation	31871210	literature	hepatic stellate cells	M.musculus
Pparγ	mmu-mir-29c	NA	NA	Regulation	31871210	literature	hepatic stellate cells	M.musculus
Pparγ	mmu-mir-30e	NA	NA	Regulation	31871210	literature	hepatic stellate cells	M.musculus
PPARγ	mmu-mir-7b	NA	NA	Activation	38632598	literature	EL4	M.musculus
c-Myc	mmu-mir-3682	NA	NA	Activation	36366818	literature	T cells	M.musculus
PPAR-γ	mmu-mir-23a	NA	NA	Activation	31091119	literature	bone marrow-derived macrophages	M.musculus
NF-κB	mmu-let-7f-1	NA	NA	Activation	36120949	literature	dendritic epidermal T cells	M.musculus
Ahr	mmu-mir-132	NA	NA	Activation	23818645	literature		M.musculus
Ahr	mmu-mir-212	NA	NA	Activation	23818645	literature		M.musculus
Ahr	mmu-mir-302a	NA	NA	Activation	23821545	literature		M.musculus
Ahr	mmu-mir-302b	NA	NA	Activation	23821545	literature		M.musculus
Ahr	mmu-mir-302c	NA	NA	Activation	23821545	literature		M.musculus
Ahr	mmu-mir-302d	NA	NA	Activation	23821545	literature		M.musculus
Ahr	mmu-mir-367	NA	NA	Activation	23821545	literature		M.musculus
Akt1	mmu-mir-21	NA	NA	Activation	20404348	literature		M.musculus
Atf4	mmu-mir-211	NA	NA	Activation	23022383	literature		M.musculus
Bcl6	mmu-mir-21	NA	NA	Repression	23416424	literature		M.musculus
Bmi1	mmu-mir-300	NA	NA	Activation	26512961	literature		M.musculus
Bmp7	mmu-mir-455	NA	NA	Activation	26303948	literature		M.musculus
Cdx2	mmu-mir-196b	NA	NA	Activation	26141604	literature		M.musculus
Cebpa	mmu-mir-101b	NA	NA	Activation(feedback)	28217257	literature		M.musculus
Cebpa	mmu-mir-130a	NA	NA	Repression	26923288	literature		M.musculus
Cebpa	mmu-mir-130b	NA	NA	Activation	26923288	literature		M.musculus
Cebpa	mmu-mir-140	NA	NA	Activation	26657345	literature		M.musculus
Cebpa	mmu-mir-21	NA	NA	Activation	24421386	literature		M.musculus
Cebpa	mmu-mir-22	NA	NA	Activation	24421386	literature		M.musculus
Cebpa	mmu-mir-223	NA	NA	Activation	24421386	literature		M.musculus
Cebpa	mmu-mir-223	NA	NA	Activation	25641499	literature		M.musculus
Cebpa	mmu-mir-34a	NA	NA	Activation	24421386	literature		M.musculus
Cebpa	mmu-mir-476	NA	NA	Activation	25641499	literature		M.musculus
Cebpa	mmu-mir-758	NA	NA	Activation	25641499	literature		M.musculus
Cebpb	mmu-mir-130a	NA	NA	Repression	26923288	literature		M.musculus
Cebpb	mmu-mir-130b	NA	NA	Activation	26923288	literature		M.musculus
Cebpb	mmu-mir-142	NA	NA	Activation	23509362	literature		M.musculus
Cebpb	mmu-mir-146a	NA	NA	Repression	26538391	literature		M.musculus
Cebpb	mmu-mir-155	NA	NA	Repression(feedback)	23612310	literature		M.musculus
Cebpb	mmu-mir-155	NA	NA	Repression(feedback)	26538391	literature		M.musculus
Cebpb	mmu-mir-181b	NA	NA	Activation	27430527	literature		M.musculus
Cebpb	mmu-mir-21	NA	NA	Activation	27430527	literature		M.musculus
Cebpb	mmu-mir-223	NA	NA	Activation	25641499	literature		M.musculus
Cebpb	mmu-mir-455	NA	NA	Activation	24444604	literature		M.musculus
Cebpb	mmu-mir-476	NA	NA	Activation	25641499	literature		M.musculus
Cebpb	mmu-mir-758	NA	NA	Activation	25641499	literature		M.musculus
Clock	mmu-mir-142	NA	NA	Regulation	22958478	literature		M.musculus
Clock	mmu-mir-17	NA	NA	Activation(feedback)	27440219	literature		M.musculus
Cp2	mmu-mir-144	NA	NA	Activation	28182010	literature		M.musculus
Creb1	mmu-mir-132	NA	NA	Regulation	20307261	literature		M.musculus
Creb1	mmu-mir-132	NA	NA	Activation	25217442	literature		M.musculus
Creb1	mmu-mir-212	NA	NA	Regulation	20307261	literature		M.musculus
Creb1	mmu-mir-212	NA	NA	Activation	25217442	literature		M.musculus
Crebbp	mmu-mir-132	NA	NA	Activation	25217442	literature		M.musculus
Crebbp	mmu-mir-212	NA	NA	Activation	25217442	literature		M.musculus
Crtc1	mmu-mir-132	NA	NA	Activation	26797246	literature		M.musculus
Crtc1	mmu-mir-212	NA	NA	Activation	26797246	literature		M.musculus
Ctnnb1	mmu-mir-211	NA	NA	Activation	25727520	literature		M.musculus
Ddit3	mmu-mir-708	NA	NA	Activation	21402790	literature		M.musculus
E2f1	mmu-mir-30b	NA	NA	Repression	25301066	literature		M.musculus
E2f1	mmu-mir-325	NA	NA	Activation	24531537	literature		M.musculus
E2f1	mmu-mir-421	NA	NA	Activation	26184432	literature		M.musculus
E2f2	mmu-let-7a-1	NA	NA	Activation	24240124	literature		M.musculus
E2f3	mmu-mir-141	NA	NA	Activation	22993445	literature		M.musculus
E2f3	mmu-mir-200c	NA	NA	Activation	22993445	literature		M.musculus
Ep300	mmu-mir-192	NA	NA	Regulation	23737551	literature		M.musculus
Erk1/2	mmu-mir-132	NA	NA	Regulation	20307261	literature		M.musculus
Erk1/2	mmu-mir-212	NA	NA	Regulation	20307261	literature		M.musculus
Esr1	mmu-mir-375	NA	NA	Repression	20978187	literature		M.musculus
Esrrb	mmu-mir-499	NA	NA	Activation	23676496	literature		M.musculus
Esrrg	mmu-mir-208b	NA	NA	Activation	23676496	literature		M.musculus
Esrrg	mmu-mir-499	NA	NA	Activation	23676496	literature		M.musculus
Ets1	mmu-mir-17	NA	NA	Activation(feedback)	24968297	literature		M.musculus
Ets1	mmu-mir-18a	NA	NA	Activation(feedback)	24968297	literature		M.musculus
Ets1	mmu-mir-192	NA	NA	Repression	23737551	literature		M.musculus
Ets1	mmu-mir-19a	NA	NA	Activation	24968297	literature		M.musculus
Ets1	mmu-mir-19b-1	NA	NA	Activation	24968297	literature		M.musculus
Ets1	mmu-mir-20a	NA	NA	Activation	24968297	literature		M.musculus
Ets1	mmu-mir-92a-1	NA	NA	Activation	24968297	literature		M.musculus
Ets2	mmu-mir-17	NA	NA	Activation	24968297	literature		M.musculus
Ets2	mmu-mir-18a	NA	NA	Activation	24968297	literature		M.musculus
Ets2	mmu-mir-19a	NA	NA	Activation	24968297	literature		M.musculus
Ets2	mmu-mir-19b-1	NA	NA	Activation	24968297	literature		M.musculus
Ets2	mmu-mir-20a	NA	NA	Activation	24968297	literature		M.musculus
Ets2	mmu-mir-92a-1	NA	NA	Activation(feedback)	24968297	literature		M.musculus
Etv6	mmu-mir-130a	NA	NA	Activation	26565914	literature		M.musculus
Ezh2	mmu-mir-208b	NA	NA	Repression	24137001	literature		M.musculus
Ezh2	mmu-mir-29b-2	NA	NA	Repression(feedback)	22438993	literature		M.musculus
Ezh2	mmu-mir-29c	NA	NA	Repression(feedback)	22438993	literature		M.musculus
Foxh1	mmu-mir-1188	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-1193	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-1197	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-134	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-154	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-299a	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-299b	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-300	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-3072	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-323	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-329	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-341	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-369	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-370	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-376a	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-376b	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-376c	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-377	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-379	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-380	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-381	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-382	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-409	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-410	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-411	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-412	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-453	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-485	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-487b	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-494	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-495	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-496a	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-539	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-541	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-543	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-544	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-654	NA	NA	Activation	23390484	literature		M.musculus
Foxh1	mmu-mir-666	NA	NA	Activation	23390484	literature		M.musculus
